spine	classification	golden_pages	golden_fragments	golden_first	golden_last	golden_sha	historical_pages	historical_fragments	historical_first	historical_last	historical_sha	current_pages	current_fragments	current_first	current_last	current_sha
0	UNCHANGED	1	0	-	-	e3b0c44298fc1c14	1	0	-	-	e3b0c44298fc1c14	1	0	-	-	e3b0c44298fc1c14
1	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
2	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
3	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
4	CURRENT_SOURCE_ONLY	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8	12	26	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|0b539352	50c475d6380acc39
5	CURRENT_SOURCE_ONLY	16	30	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	127.67,543.80,134.66,19.12|558.80|04f5ac78	ffb6122ecc5b1a15	16	30	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	127.67,543.80,134.66,19.12|558.80|04f5ac78	ffb6122ecc5b1a15	16	30	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	129.25,543.80,131.50,21.42|560.02|04f5ac78	5e5fce8ab35edb09
6	CURRENT_SOURCE_ONLY	19	33	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|f43252d7	ca5e78faf538bf79	19	33	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|f43252d7	ca5e78faf538bf79	19	33	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|f43252d7	6f516fd90d032acb
7	CURRENT_SOURCE_ONLY	10	24	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	59974dd47f2542b2	10	24	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	59974dd47f2542b2	10	24	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|6634b282	0eb028d29a27b741
8	CURRENT_SOURCE_ONLY	15	29	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	461ee4fbfd5dc403	15	29	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	461ee4fbfd5dc403	15	29	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|6634b282	f44baa2325279633
9	UNCHANGED	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0
10	UNCHANGED	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8
11	UNCHANGED	3	88	136.35,208.61,117.30,29.32|229.27|fa5d77af	183.75,737.90,187.00,22.10|754.33|8dd84b6e	7a036c13a5599357	3	88	136.35,208.61,117.30,29.32|229.27|fa5d77af	183.75,737.90,187.00,22.10|754.33|8dd84b6e	7a036c13a5599357	3	88	136.35,208.61,117.30,29.32|229.27|fa5d77af	183.75,737.90,187.00,22.10|754.33|8dd84b6e	7a036c13a5599357
12	UNCHANGED	4	90	155.90,208.61,78.20,29.32|229.27|5a2e57ce	183.75,401.30,187.00,22.10|417.73|2d49cd75	3ad99a69d0986451	4	90	155.90,208.61,78.20,29.32|229.27|5a2e57ce	183.75,401.30,187.00,22.10|417.73|2d49cd75	3ad99a69d0986451	4	90	155.90,208.61,78.20,29.32|229.27|5a2e57ce	183.75,401.30,187.00,22.10|417.73|2d49cd75	3ad99a69d0986451
13	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
14	UNCHANGED	1	5	164.02,146.87,61.97,33.28|171.52|f202e4c8	103.20,213.43,183.60,33.28|237.95|1e0eb510	de2eb00b5f195453	1	5	164.02,146.87,61.97,33.28|171.52|f202e4c8	103.20,213.43,183.60,33.28|237.95|1e0eb510	de2eb00b5f195453	1	5	164.02,146.87,61.97,33.28|171.52|f202e4c8	103.20,213.43,183.60,33.28|237.95|1e0eb510	de2eb00b5f195453
15	HISTORICAL_AND_CURRENT_SOURCE	23	848	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,409.80,177.65,22.10|426.30|4a74da37	f75828eb40b1a3e8	23	847	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,321.40,177.65,22.10|337.90|4a74da37	65398a3830cc2a72	24	852	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,255.10,177.65,22.10|271.60|4a74da37	62a3f6d9df3cc11c
16	UNCHANGED	2	40	164.02,146.87,61.97,33.28|171.52|3d5245c8	37.66,188.80,258.40,22.10|205.30|e12b3302	32fa8190ce4f23a1	2	40	164.02,146.87,61.97,33.28|171.52|3d5245c8	37.66,188.80,258.40,22.10|205.30|e12b3302	32fa8190ce4f23a1	2	40	164.02,146.87,61.97,33.28|171.52|3d5245c8	37.66,188.80,258.40,22.10|205.30|e12b3302	32fa8190ce4f23a1
17	HISTORICAL_AND_CURRENT_SOURCE	16	589	19.25,257.49,337.49,22.10|274.59|391c3e45	37.66,454.00,48.45,22.10|470.50|2e0d98ef	da4c1490739bca29	16	589	19.25,257.49,333.24,22.10|274.59|391c3e45	37.66,431.90,48.45,22.10|448.40|2e0d98ef	b1f48bab6e69ab04	17	595	19.25,257.49,342.21,23.80|275.51|391c3e45	37.66,321.40,48.45,22.10|337.90|2e0d98ef	56d837b8f94ea5b4
18	UNCHANGED	1	7	164.02,146.87,61.97,33.28|171.52|d9a00705	37.66,313.90,261.21,22.10|330.40|4a31766f	5f9ea5344b4bccc7	1	7	164.02,146.87,61.97,33.28|171.52|d9a00705	37.66,313.90,261.21,22.10|330.40|4a31766f	5f9ea5344b4bccc7	1	7	164.02,146.87,61.97,33.28|171.52|d9a00705	37.66,313.90,261.21,22.10|330.40|4a31766f	5f9ea5344b4bccc7
19	HISTORICAL_AND_CURRENT_SOURCE	22	823	19.25,257.49,337.49,22.10|274.59|9f16f1b1	37.66,542.40,215.18,22.10|558.90|1b657007	75819c64fe1923b3	22	820	19.25,257.49,337.49,22.10|274.59|9f16f1b1	37.66,431.90,215.18,22.10|448.40|1b657007	040c12ec6f6bb3c7	23	835	19.25,257.49,346.46,23.80|275.51|9f16f1b1	37.66,586.60,215.18,22.10|603.10|1b657007	4d190f8c45f69ba4
20	UNCHANGED	1	15	164.02,146.87,61.97,33.28|171.52|c5ca50bf	37.66,490.70,193.80,22.10|507.20|ff032817	1f5bb39ed7f2355f	1	15	164.02,146.87,61.97,33.28|171.52|c5ca50bf	37.66,490.70,193.80,22.10|507.20|ff032817	1f5bb39ed7f2355f	1	15	164.02,146.87,61.97,33.28|171.52|c5ca50bf	37.66,490.70,193.80,22.10|507.20|ff032817	1f5bb39ed7f2355f
21	HISTORICAL_AND_CURRENT_SOURCE	14	517	19.25,257.49,303.55,22.10|274.59|c02273d0	37.66,498.20,290.70,22.10|514.70|1f9c0ff8	6d4bce5c96117f0d	14	516	19.25,257.49,303.55,22.10|274.59|c02273d0	37.66,476.10,290.70,22.10|492.60|1f9c0ff8	125301bd6abcf049	15	521	19.25,257.49,311.81,23.80|275.51|c02273d0	37.66,343.50,290.70,22.10|360.00|1f9c0ff8	1896cc6269cc73fc
22	UNCHANGED	1	14	164.02,146.87,61.97,33.28|171.52|a3931705	37.66,468.60,48.45,22.10|485.10|bc81da20	4f10f6fc7a4c9232	1	14	164.02,146.87,61.97,33.28|171.52|a3931705	37.66,468.60,48.45,22.10|485.10|bc81da20	4f10f6fc7a4c9232	1	14	164.02,146.87,61.97,33.28|171.52|a3931705	37.66,468.60,48.45,22.10|485.10|bc81da20	4f10f6fc7a4c9232
23	HISTORICAL_AND_CURRENT_SOURCE	28	991	19.25,257.49,337.02,22.10|274.59|2b23d450	37.66,321.40,209.95,22.10|337.90|07f96915	d587fc800eff3e2a	28	988	19.25,257.49,337.02,22.10|274.59|2b23d450	37.66,210.90,209.95,22.10|227.40|07f96915	1b0cfe17937f566b	29	1005	19.25,257.49,346.46,23.80|275.51|2b23d450	37.66,233.00,209.95,22.10|249.50|07f96915	6375c52108b4e34c
24	UNCHANGED	1	8	164.02,146.87,61.97,33.28|171.52|adf144d0	37.66,358.10,258.40,22.10|374.60|6232697a	64b295e29640483c	1	8	164.02,146.87,61.97,33.28|171.52|adf144d0	37.66,358.10,258.40,22.10|374.60|6232697a	64b295e29640483c	1	8	164.02,146.87,61.97,33.28|171.52|adf144d0	37.66,358.10,258.40,22.10|374.60|6232697a	64b295e29640483c
25	HISTORICAL_AND_CURRENT_SOURCE	14	489	19.25,257.49,337.25,22.10|274.59|fef9cbef	37.66,321.40,96.90,22.10|337.90|6b9cb9e7	f74a0dd36535893c	14	487	19.25,257.49,337.25,22.10|274.59|fef9cbef	37.66,255.10,96.90,22.10|271.60|6b9cb9e7	3d3de6ec01fa55c4	15	494	19.25,257.49,346.46,23.80|275.51|fef9cbef	37.66,188.80,96.90,22.10|205.30|6b9cb9e7	1cb0b710af5ba561
26	UNCHANGED	1	9	164.02,146.87,61.97,33.28|171.52|837fb4fa	37.66,380.20,129.20,22.10|396.70|bd9fe5e8	5172973abf2b5f91	1	9	164.02,146.87,61.97,33.28|171.52|837fb4fa	37.66,380.20,129.20,22.10|396.70|bd9fe5e8	5172973abf2b5f91	1	9	164.02,146.87,61.97,33.28|171.52|837fb4fa	37.66,380.20,129.20,22.10|396.70|bd9fe5e8	5172973abf2b5f91
27	HISTORICAL_AND_CURRENT_SOURCE	14	502	19.25,257.49,337.25,22.10|274.59|a044aa87	37.66,498.20,290.70,22.10|514.70|21be26c8	433a54911e597e4a	14	501	19.25,257.49,337.25,22.10|274.59|a044aa87	37.66,476.10,290.70,22.10|492.60|21be26c8	c3a52754864aae1f	15	509	19.25,257.49,346.46,23.80|275.51|a044aa87	37.66,476.10,290.70,22.10|492.60|21be26c8	5f0d4166c001461a
28	UNCHANGED	1	8	164.02,146.87,61.97,33.28|171.52|1a82d0d0	37.66,358.10,129.20,22.10|374.60|6b6324c9	b2c1a6a97863a82c	1	8	164.02,146.87,61.97,33.28|171.52|1a82d0d0	37.66,358.10,129.20,22.10|374.60|6b6324c9	b2c1a6a97863a82c	1	8	164.02,146.87,61.97,33.28|171.52|1a82d0d0	37.66,358.10,129.20,22.10|374.60|6b6324c9	b2c1a6a97863a82c
29	HISTORICAL_AND_CURRENT_SOURCE	13	442	19.25,257.49,303.78,22.10|274.59|a7dea468	37.66,785.50,96.90,22.10|802.00|eeed701e	fd571c294e7ce51f	13	443	19.25,257.49,303.78,22.10|274.59|a7dea468	37.66,785.50,96.90,22.10|802.00|eeed701e	b34f94f43401eb9b	14	450	19.25,257.49,311.81,23.80|275.51|a7dea468	37.66,520.30,96.90,22.10|536.80|eeed701e	ae5b54f882a415b2
30	UNCHANGED	1	5	164.02,146.87,61.97,33.28|171.52|60bdccd2	103.20,213.43,183.60,33.28|237.95|07ffb2c7	8fe1e69c5e6bd3cc	1	5	164.02,146.87,61.97,33.28|171.52|60bdccd2	103.20,213.43,183.60,33.28|237.95|07ffb2c7	8fe1e69c5e6bd3cc	1	5	164.02,146.87,61.97,33.28|171.52|60bdccd2	103.20,213.43,183.60,33.28|237.95|07ffb2c7	8fe1e69c5e6bd3cc
31	HISTORICAL_AND_CURRENT_SOURCE	12	414	19.25,257.49,320.17,22.10|274.59|6c8ed029	37.66,12.00,177.65,22.10|28.50|f6878b05	92abf2972fac2ae9	11	409	19.25,257.49,349.86,22.10|274.59|986a5b5c	37.66,697.10,177.65,22.10|713.60|f6878b05	82a92e4d4f477287	12	414	19.25,257.49,329.14,23.80|275.51|6c8ed029	37.66,542.40,177.65,22.10|558.90|f6878b05	d9ad73f61d8ec07b
32	UNCHANGED	1	5	164.02,146.87,61.97,33.28|171.52|5b110e6e	103.20,213.43,183.60,33.28|237.95|5e4ec501	b916b9dd5f75cb17	1	5	164.02,146.87,61.97,33.28|171.52|5b110e6e	103.20,213.43,183.60,33.28|237.95|5e4ec501	b916b9dd5f75cb17	1	5	164.02,146.87,61.97,33.28|171.52|5b110e6e	103.20,213.43,183.60,33.28|237.95|5e4ec501	b916b9dd5f75cb17
33	HISTORICAL_AND_CURRENT_SOURCE	10	310	19.25,257.49,337.49,22.10|274.59|1f051d79	37.66,78.30,290.70,22.10|94.80|47e1ed86	8515b0c8f22e03bf	10	309	19.25,257.49,337.49,22.10|274.59|1f051d79	37.66,78.30,290.70,22.10|94.80|47e1ed86	88f9597c07a8fed3	10	317	19.25,257.49,346.46,23.80|275.51|1f051d79	37.66,630.80,290.70,22.10|647.30|47e1ed86	8137b751aa6c932a
34	UNCHANGED	1	5	153.69,146.87,82.62,33.28|171.52|213e31e6	103.20,213.43,183.60,33.28|237.95|3dd8233d	ceb7aefc7e027b80	1	5	153.69,146.87,82.62,33.28|171.52|213e31e6	103.20,213.43,183.60,33.28|237.95|3dd8233d	ceb7aefc7e027b80	1	5	153.69,146.87,82.62,33.28|171.52|213e31e6	103.20,213.43,183.60,33.28|237.95|3dd8233d	ceb7aefc7e027b80
35	HISTORICAL_AND_CURRENT_SOURCE	11	380	19.25,257.49,337.25,22.10|274.59|528b30fd	37.66,520.30,113.05,22.10|536.80|d6c7592a	3a0b4dc1d6d77a7e	11	377	19.25,257.49,337.25,22.10|274.59|528b30fd	37.66,476.10,113.05,22.10|492.60|d6c7592a	dbfa3127c56a6ab6	12	385	19.25,257.49,346.46,23.80|275.51|528b30fd	37.66,277.20,113.05,22.10|293.70|d6c7592a	3bf94092741afba5
36	UNCHANGED	1	5	153.69,146.87,82.62,33.28|171.52|a811e262	103.20,213.43,183.60,33.28|237.95|55889c97	e04427ccc1b4fcae	1	5	153.69,146.87,82.62,33.28|171.52|a811e262	103.20,213.43,183.60,33.28|237.95|55889c97	e04427ccc1b4fcae	1	5	153.69,146.87,82.62,33.28|171.52|a811e262	103.20,213.43,183.60,33.28|237.95|55889c97	e04427ccc1b4fcae
37	HISTORICAL_AND_CURRENT_SOURCE	8	274	19.25,257.49,349.11,22.10|274.59|c884bae8	37.66,542.40,306.85,22.10|558.90|038413d3	bf4254f2f8f921ce	8	273	19.25,257.49,349.11,22.10|274.59|c884bae8	37.66,542.40,306.85,22.10|558.90|038413d3	ae0b320a123577bd	9	279	19.25,257.49,340.76,23.80|275.51|59b4e8a9	37.66,210.90,306.85,22.10|227.40|038413d3	c44626d98e634b3d
38	UNCHANGED	1	6	153.69,146.87,82.62,33.28|171.52|8e58381f	37.66,313.90,258.40,22.10|330.40|c2a731e7	1b74dccb8d2686c1	1	6	153.69,146.87,82.62,33.28|171.52|8e58381f	37.66,313.90,258.40,22.10|330.40|c2a731e7	1b74dccb8d2686c1	1	6	153.69,146.87,82.62,33.28|171.52|8e58381f	37.66,313.90,258.40,22.10|330.40|c2a731e7	1b74dccb8d2686c1
39	HISTORICAL_AND_CURRENT_SOURCE	12	432	19.25,257.49,337.25,22.10|274.59|eb2f3863	37.66,365.60,32.30,22.10|382.10|21d793dc	e91db06e1ccb6a0c	12	429	19.25,257.49,337.25,22.10|274.59|eb2f3863	37.66,277.20,32.30,22.10|293.70|21d793dc	5eb8fb5d6035308b	12	433	19.25,257.49,346.46,23.80|275.51|eb2f3863	37.66,785.50,32.30,22.10|802.00|21d793dc	d0520e17c4d3e217
40	UNCHANGED	1	12	153.69,146.87,82.62,33.28|171.52|597cb1f7	37.66,402.30,193.80,22.10|418.80|2c2b8c46	75a77db97ce02140	1	12	153.69,146.87,82.62,33.28|171.52|597cb1f7	37.66,402.30,193.80,22.10|418.80|2c2b8c46	75a77db97ce02140	1	12	153.69,146.87,82.62,33.28|171.52|597cb1f7	37.66,402.30,193.80,22.10|418.80|2c2b8c46	75a77db97ce02140
41	HISTORICAL_AND_CURRENT_SOURCE	13	482	19.25,257.49,320.17,22.10|274.59|0a0657d4	37.66,697.10,258.40,22.10|713.60|3aad480e	6d60cc74548cff7b	13	476	19.25,257.49,349.86,22.10|274.59|e595e81e	37.66,586.60,258.40,22.10|603.10|3aad480e	86c1eae5666c5c8c	14	487	19.25,257.49,329.14,23.80|275.51|0a0657d4	37.66,630.80,258.40,22.10|647.30|3aad480e	77c839d958266c91
42	UNCHANGED	1	5	153.69,146.87,82.62,33.28|171.52|da8bb676	103.20,213.43,183.60,33.28|237.95|503cb708	b22615d5dffd7bca	1	5	153.69,146.87,82.62,33.28|171.52|da8bb676	103.20,213.43,183.60,33.28|237.95|503cb708	b22615d5dffd7bca	1	5	153.69,146.87,82.62,33.28|171.52|da8bb676	103.20,213.43,183.60,33.28|237.95|503cb708	b22615d5dffd7bca
43	HISTORICAL_AND_CURRENT_SOURCE	10	364	19.25,257.49,337.02,22.10|274.59|3a9364b9	37.66,675.00,161.50,22.10|691.50|aee5b1c1	76d6f2f83216b520	10	365	19.25,257.49,337.02,22.10|274.59|3a9364b9	37.66,675.00,161.50,22.10|691.50|aee5b1c1	4fcdc2f716d5e56a	11	368	19.25,257.49,346.46,23.80|275.51|3a9364b9	37.66,299.30,161.50,22.10|315.80|aee5b1c1	4d514e2e241a8c1a
44	UNCHANGED	1	5	153.69,146.87,82.62,33.28|171.52|64e52e93	103.20,213.43,183.60,33.28|237.95|6b7c6ee1	d31a54ca327283d2	1	5	153.69,146.87,82.62,33.28|171.52|64e52e93	103.20,213.43,183.60,33.28|237.95|6b7c6ee1	d31a54ca327283d2	1	5	153.69,146.87,82.62,33.28|171.52|64e52e93	103.20,213.43,183.60,33.28|237.95|6b7c6ee1	d31a54ca327283d2
45	HISTORICAL_AND_CURRENT_SOURCE	15	540	19.25,257.49,320.40,22.10|274.59|1bf116d3	37.66,343.50,80.75,22.10|360.00|1ee57857	22697a65fb9acd6c	15	542	19.25,257.49,350.09,22.10|274.59|ab3fce33	37.66,343.50,80.75,22.10|360.00|1ee57857	4752cf48b68d305d	16	550	19.25,257.49,329.14,23.80|275.51|1bf116d3	37.66,387.70,80.75,22.10|404.20|1ee57857	68df48d351f11ff5
46	UNCHANGED	2	37	112.38,146.87,165.24,33.28|171.52|9a484323	37.66,166.70,290.70,22.10|183.20|d5c22c70	06b9cd069f0932ee	2	37	112.38,146.87,165.24,33.28|171.52|9a484323	37.66,166.70,290.70,22.10|183.20|d5c22c70	06b9cd069f0932ee	2	37	112.38,146.87,165.24,33.28|171.52|9a484323	37.66,166.70,290.70,22.10|183.20|d5c22c70	06b9cd069f0932ee
47	HISTORICAL_AND_CURRENT_SOURCE	41	1505	19.25,257.49,337.49,22.10|274.59|735f2bbd	37.66,741.30,64.60,22.10|757.80|2001c869	3781c9d4f5c6de03	41	1501	19.25,257.49,337.49,22.10|274.59|735f2bbd	37.66,741.30,64.60,22.10|757.80|2001c869	a2dfbbd544339a36	43	1513	19.25,257.49,346.46,23.80|275.51|735f2bbd	37.66,763.40,64.60,22.10|779.90|2001c869	6300a6889e80e107
48	UNCHANGED	1	18	153.69,146.87,82.62,33.28|171.52|321fe3d0	37.66,579.10,290.70,22.10|595.60|1d7cdcca	991d63f725b35b1a	1	18	153.69,146.87,82.62,33.28|171.52|321fe3d0	37.66,579.10,290.70,22.10|595.60|1d7cdcca	991d63f725b35b1a	1	18	153.69,146.87,82.62,33.28|171.52|321fe3d0	37.66,579.10,290.70,22.10|595.60|1d7cdcca	991d63f725b35b1a
49	HISTORICAL_AND_CURRENT_SOURCE	17	587	19.25,257.49,337.49,22.10|274.59|772c96a6	37.66,365.60,80.75,22.10|382.10|2a688f71	3586bd8ca4976c09	17	585	19.25,257.49,337.49,22.10|274.59|772c96a6	37.66,321.40,80.75,22.10|337.90|2a688f71	6f77c75e39fa0a65	18	596	19.25,257.49,346.46,23.80|275.51|772c96a6	37.66,365.60,80.75,22.10|382.10|2a688f71	0432cab3d4730c39
50	UNCHANGED	1	5	153.69,146.87,82.62,33.28|171.52|78f6976d	103.20,213.43,183.60,33.28|237.95|88f2ac92	1e05f358cf4b0847	1	5	153.69,146.87,82.62,33.28|171.52|78f6976d	103.20,213.43,183.60,33.28|237.95|88f2ac92	1e05f358cf4b0847	1	5	153.69,146.87,82.62,33.28|171.52|78f6976d	103.20,213.43,183.60,33.28|237.95|88f2ac92	1e05f358cf4b0847
51	HISTORICAL_AND_CURRENT_SOURCE	10	313	19.25,257.49,347.98,22.10|274.59|e6354951	37.66,34.10,48.45,22.10|50.60|4e12d435	b4f915b6f1759d38	9	310	19.25,257.49,343.73,22.10|274.59|e6354951	37.66,807.50,48.45,22.10|824.00|4e12d435	fe834046e399b1a1	10	320	19.25,257.49,322.31,23.80|275.51|84659b5f	37.66,586.60,48.45,22.10|603.10|4e12d435	5921b0bdbaab4339
52	UNCHANGED	1	5	143.36,146.87,103.28,33.28|171.52|8484ad27	103.20,213.43,183.60,33.28|237.95|174b75cb	616c3d5d607cd10a	1	5	143.36,146.87,103.28,33.28|171.52|8484ad27	103.20,213.43,183.60,33.28|237.95|174b75cb	616c3d5d607cd10a	1	5	143.36,146.87,103.28,33.28|171.52|8484ad27	103.20,213.43,183.60,33.28|237.95|174b75cb	616c3d5d607cd10a
53	HISTORICAL_AND_CURRENT_SOURCE	13	451	19.25,257.49,337.49,22.10|274.59|92edab6f	37.66,122.50,290.70,22.10|139.00|5c2cff48	691f45152ba74e6c	13	450	19.25,257.49,337.49,22.10|274.59|92edab6f	37.66,122.50,290.70,22.10|139.00|5c2cff48	336a1ea36ab392ae	13	457	19.25,257.49,346.46,23.80|275.51|92edab6f	37.66,763.40,290.70,22.10|779.90|5c2cff48	f4708ed5bc54aa0b
54	UNCHANGED	1	5	143.36,146.87,103.28,33.28|171.52|ef3cf970	103.20,213.43,183.60,33.28|237.95|ffe733d7	44ca42796c2f51c7	1	5	143.36,146.87,103.28,33.28|171.52|ef3cf970	103.20,213.43,183.60,33.28|237.95|ffe733d7	44ca42796c2f51c7	1	5	143.36,146.87,103.28,33.28|171.52|ef3cf970	103.20,213.43,183.60,33.28|237.95|ffe733d7	44ca42796c2f51c7
55	HISTORICAL_AND_CURRENT_SOURCE	19	653	19.25,257.49,337.25,22.10|274.59|3ce38a29	37.66,365.60,64.60,22.10|382.10|56f86e8a	4345c99603de8230	19	651	19.25,257.49,337.25,22.10|274.59|3ce38a29	37.66,255.10,64.60,22.10|271.60|56f86e8a	bcc65b4629f29dd3	20	663	19.25,257.49,346.46,23.80|275.51|3ce38a29	37.66,255.10,64.60,22.10|271.60|56f86e8a	e8e8c0855d744131
56	UNCHANGED	1	5	143.36,146.87,103.28,33.28|171.52|2345e80f	103.20,213.43,183.60,33.28|237.95|9b5a188b	f86e51e2ab28d27a	1	5	143.36,146.87,103.28,33.28|171.52|2345e80f	103.20,213.43,183.60,33.28|237.95|9b5a188b	f86e51e2ab28d27a	1	5	143.36,146.87,103.28,33.28|171.52|2345e80f	103.20,213.43,183.60,33.28|237.95|9b5a188b	f86e51e2ab28d27a
57	HISTORICAL_AND_CURRENT_SOURCE	14	471	19.25,257.49,337.25,22.10|274.59|1ea9ac33	37.66,409.80,113.05,22.10|426.30|be24e42e	767c61808df33d69	14	469	19.25,257.49,337.25,22.10|274.59|1ea9ac33	37.66,343.50,113.05,22.10|360.00|be24e42e	48ef1af607ec267e	15	477	19.25,257.49,346.46,23.80|275.51|1ea9ac33	37.66,78.30,113.05,22.10|94.80|be24e42e	ec3eb9747ad61c2c
58	UNCHANGED	1	5	143.36,146.87,103.28,33.28|171.52|95c8c325	103.20,213.43,183.60,33.28|237.95|23d6bd5e	55f9719203b52014	1	5	143.36,146.87,103.28,33.28|171.52|95c8c325	103.20,213.43,183.60,33.28|237.95|23d6bd5e	55f9719203b52014	1	5	143.36,146.87,103.28,33.28|171.52|95c8c325	103.20,213.43,183.60,33.28|237.95|23d6bd5e	55f9719203b52014
59	HISTORICAL_AND_CURRENT_SOURCE	15	510	19.25,257.49,337.49,22.10|274.59|f94ee5ca	37.66,233.00,113.05,22.10|249.50|8edacb9f	0700e267c84a2b99	15	507	19.25,257.49,337.49,22.10|274.59|f94ee5ca	37.66,144.60,113.05,22.10|161.10|8edacb9f	0ebee2f63dab422f	16	519	19.25,257.49,346.46,23.80|275.51|f94ee5ca	37.66,255.10,113.05,22.10|271.60|8edacb9f	e0396a5647229dc7
60	UNCHANGED	1	5	143.36,146.87,103.28,33.28|171.52|8bd3db78	103.20,213.43,183.60,33.28|237.95|8537833e	ac927cfe7b81ada1	1	5	143.36,146.87,103.28,33.28|171.52|8bd3db78	103.20,213.43,183.60,33.28|237.95|8537833e	ac927cfe7b81ada1	1	5	143.36,146.87,103.28,33.28|171.52|8bd3db78	103.20,213.43,183.60,33.28|237.95|8537833e	ac927cfe7b81ada1
61	HISTORICAL_AND_CURRENT_SOURCE	16	541	19.25,257.49,337.72,22.10|274.59|e5575ab6	37.66,343.50,113.05,22.10|360.00|1d77731e	2c922347c08103e5	16	541	19.25,257.49,333.47,22.10|274.59|e5575ab6	37.66,299.30,113.05,22.10|315.80|1d77731e	33186e72fce04c3d	17	553	19.25,257.49,342.21,23.80|275.51|e5575ab6	37.66,343.50,113.05,22.10|360.00|1d77731e	e095015f9fbab565
