spine	classification	golden_pages	golden_fragments	golden_first	golden_last	golden_sha	historical_pages	historical_fragments	historical_first	historical_last	historical_sha	current_pages	current_fragments	current_first	current_last	current_sha
410	HISTORICAL_AND_CURRENT_SOURCE	27	1046	16.00,247.92,137.70,30.60|270.91|9186679c	34.00,188.84,169.33,17.68|203.14|2ac96ae8	b0096689d8ea92d2	27	1047	16.00,247.92,137.70,30.60|270.91|9186679c	34.00,188.84,169.33,17.68|203.14|2ac96ae8	b8e1f8e9169add29	30	1078	16.00,247.92,137.70,30.60|270.91|9186679c	34.00,297.60,169.33,23.80|314.95|2ac96ae8	47c2483ef3e4f38e
411	HISTORICAL_AND_CURRENT_SOURCE	27	1006	16.00,247.92,153.00,30.60|270.91|d10483a8	34.00,348.67,266.23,17.68|362.96|09669955	7516345f50b31a17	27	1005	16.00,247.92,153.00,30.60|270.91|d10483a8	34.00,348.67,266.23,17.68|362.96|09669955	929dc0eb6032308b	30	1033	16.00,247.92,153.00,30.60|270.91|d10483a8	34.00,369.00,266.23,23.80|386.35|09669955	45781dcd767b9103
412	HISTORICAL_AND_CURRENT_SOURCE	8	333	16.00,247.92,168.30,30.60|270.91|17336359	276.00,812.45,72.43,17.68|826.75|3b3e2815	3182a1181b7f826a	8	332	16.00,247.92,168.30,30.60|270.91|17336359	276.00,775.75,72.43,17.68|790.04|3b3e2815	f6a7f3cdfa59cc2b	10	343	16.00,247.92,168.30,30.60|270.91|17336359	276.00,12.00,72.43,23.80|29.35|3b3e2815	099998c8eb3fdc84
413	HISTORICAL_AND_CURRENT_SOURCE	6	181	16.00,247.92,76.50,30.60|270.91|410f5346	34.00,656.55,32.30,17.68|670.85|47edc833	08eea3fb935ac278	6	181	16.00,247.92,76.50,30.60|270.91|410f5346	34.00,656.55,32.30,17.68|670.85|47edc833	12af531513943dd3	7	186	16.00,247.92,76.50,30.60|270.91|410f5346	34.00,312.80,32.30,23.80|330.15|47edc833	ff8108f14b5fe5c3
414	UNCHANGED	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	b8af5d915b9b6565	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	b8af5d915b9b6565	1	8	99.84,158.40,17.00,20.40|174.53|af50a0fe	32.30,265.13,25.50,28.49|288.14|c7cce240	b8af5d915b9b6565
415	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
416	CURRENT_SOURCE_ONLY	1	10	152.81,29.85,17.69,23.21|47.80|cf4c4cd8	175.44,639.13,39.12,19.12|654.14|260fbd8e	443e63311a23e734	1	10	152.81,29.85,17.69,23.21|47.80|cf4c4cd8	175.44,639.13,39.12,19.12|654.14|260fbd8e	443e63311a23e734	1	10	151.82,29.85,18.19,24.99|48.77|cf4c4cd8	176.68,640.92,36.65,21.42|657.14|260fbd8e	0e8f5b1e5efeb2d2
417	UNCHANGED	1	14	15.66,232.90,357.00,22.10|249.33|1d1d762f	15.66,537.20,170.00,22.10|553.63|4be27a14	71cb11a7749a71b8	1	14	15.66,232.90,357.00,22.10|249.33|1d1d762f	15.66,537.20,170.00,22.10|553.63|4be27a14	71cb11a7749a71b8	1	14	15.66,232.90,357.00,22.10|249.33|1d1d762f	15.66,537.20,170.00,22.10|553.63|4be27a14	71cb11a7749a71b8
418	HISTORICAL_AND_CURRENT_SOURCE	2	47	16.00,247.92,30.60,30.60|270.91|ef6fba91	34.00,383.21,88.58,17.68|397.50|6468738b	00861b87462042c6	2	47	16.00,247.92,30.60,30.60|270.91|ef6fba91	34.00,383.21,88.58,17.68|397.50|6468738b	17d825d4d043ebf2	2	49	16.00,247.92,30.60,30.60|270.91|ef6fba91	34.00,508.30,88.58,23.80|525.65|6468738b	4ea04bd6957073d1
419	HISTORICAL_AND_CURRENT_SOURCE	9	310	16.00,247.92,214.20,30.60|270.91|a826593c	34.00,442.03,274.55,17.68|456.32|2e3263ea	a501cce6611bf01e	9	310	16.00,247.92,214.20,30.60|270.91|a826593c	34.00,442.03,274.55,17.68|456.32|2e3263ea	bac6da24603f6df7	10	318	16.00,247.92,214.20,30.60|270.91|a826593c	34.00,391.00,274.55,23.80|408.35|2e3263ea	9ec596a473b8ae81
420	HISTORICAL_AND_CURRENT_SOURCE	8	305	16.00,247.92,229.50,30.60|270.91|96794217	34.00,763.41,120.88,17.68|777.70|e1fe077c	4a8dd3587122030a	8	305	16.00,247.92,229.50,30.60|270.91|96794217	34.00,763.41,120.88,17.68|777.70|e1fe077c	aefe162cea63ada1	9	315	16.00,247.92,229.50,30.60|270.91|96794217	34.00,748.00,120.88,23.80|765.35|e1fe077c	ed752ca79da4be1c
421	HISTORICAL_AND_CURRENT_SOURCE	12	391	16.00,247.92,214.20,30.60|270.91|10401f78	153.70,65.05,72.43,17.68|79.35|cfa33909	78e37cd0c1b275ae	12	391	16.00,247.92,214.20,30.60|270.91|10401f78	153.70,65.05,72.43,17.68|79.35|cfa33909	656458aa79972ce0	13	399	16.00,247.92,214.20,30.60|270.91|10401f78	153.70,202.40,72.43,23.80|219.75|cfa33909	e21812fca3e77aca
