utc,monotonic_s,scenario,pid,kind,cpu_ps_percent,cpu_total_s,rss_mib
2026-09-07T17:15:20.228868+00:00,347692.493,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.734
2026-09-07T17:15:20.228874+00:00,347692.493,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.190,278.578
2026-09-07T17:15:20.228881+00:00,347692.493,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.734
2026-09-07T17:15:20.228885+00:00,347692.493,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.641
2026-09-07T17:15:20.228888+00:00,347692.493,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.438
2026-09-07T17:15:21.257733+00:00,347693.504,snapshot-settled-after-default-off-continuous,82878,reader,11.0,12.090,635.297
2026-09-07T17:15:21.257782+00:00,347693.504,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.734
2026-09-07T17:15:21.257787+00:00,347693.504,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.190,278.578
2026-09-07T17:15:21.257791+00:00,347693.504,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.734
2026-09-07T17:15:21.257794+00:00,347693.504,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.641
2026-09-07T17:15:21.257797+00:00,347693.504,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:22.241550+00:00,347694.507,snapshot-settled-after-default-off-continuous,82878,reader,15.5,12.220,650.047
2026-09-07T17:15:22.241607+00:00,347694.507,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.734
2026-09-07T17:15:22.241611+00:00,347694.507,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.190,278.578
2026-09-07T17:15:22.241614+00:00,347694.507,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.280,278.734
2026-09-07T17:15:22.241618+00:00,347694.507,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.641
2026-09-07T17:15:22.241621+00:00,347694.507,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.422
2026-09-07T17:15:23.274153+00:00,347695.517,snapshot-settled-after-default-off-continuous,82878,reader,3.6,12.280,635.531
