utc,monotonic_s,scenario,pid,kind,cpu_ps_percent,cpu_total_s,rss_mib
2026-09-07T15:47:34.237096+00:00,342426.535,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:34.237100+00:00,342426.535,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:34.237103+00:00,342426.535,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:34.237107+00:00,342426.535,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:35.271334+00:00,342427.546,final-default-off-continuous,68738,reader,1.4,12.680,635.078
2026-09-07T15:47:35.271379+00:00,342427.546,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:35.271385+00:00,342427.546,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:35.271390+00:00,342427.546,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:35.271393+00:00,342427.546,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:35.271397+00:00,342427.546,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:36.285525+00:00,342428.556,final-default-off-continuous,68738,reader,8.0,12.820,635.391
2026-09-07T15:47:36.285576+00:00,342428.556,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:36.285582+00:00,342428.556,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:36.285585+00:00,342428.556,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:36.285589+00:00,342428.556,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:36.285593+00:00,342428.556,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:37.255034+00:00,342429.557,final-default-off-continuous,68738,reader,12.8,12.960,650.094
2026-09-07T15:47:37.255074+00:00,342429.557,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:37.255078+00:00,342429.557,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:37.255082+00:00,342429.557,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:37.255085+00:00,342429.557,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:37.255088+00:00,342429.557,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:38.288448+00:00,342430.568,final-default-off-continuous,68738,reader,1.8,12.980,635.531
2026-09-07T15:47:38.288494+00:00,342430.568,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:38.288500+00:00,342430.568,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:38.288505+00:00,342430.568,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:38.288508+00:00,342430.568,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:38.288512+00:00,342430.568,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:39.306791+00:00,342431.578,final-default-off-continuous,68738,reader,15.9,13.170,637.578
2026-09-07T15:47:39.306836+00:00,342431.578,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:39.306841+00:00,342431.578,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:39.306846+00:00,342431.578,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:39.306850+00:00,342431.578,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:39.306853+00:00,342431.578,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:40.303312+00:00,342432.589,final-default-off-continuous,68738,reader,13.1,13.250,652.281
2026-09-07T15:47:40.303358+00:00,342432.589,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:40.303363+00:00,342432.589,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:40.303368+00:00,342432.589,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:40.303371+00:00,342432.589,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:40.303374+00:00,342432.589,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:41.321301+00:00,342433.594,final-default-off-continuous,68738,reader,8.0,13.330,637.922
2026-09-07T15:47:41.321340+00:00,342433.594,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:41.321346+00:00,342433.594,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:41.321351+00:00,342433.594,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:41.321354+00:00,342433.594,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:41.321358+00:00,342433.594,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:42.330407+00:00,342434.605,final-default-off-continuous,68738,reader,5.8,13.450,637.922
2026-09-07T15:47:42.330457+00:00,342434.605,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:42.330463+00:00,342434.605,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:42.330467+00:00,342434.605,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:42.330471+00:00,342434.605,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:42.330474+00:00,342434.605,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:43.339778+00:00,342435.615,final-default-off-continuous,68738,reader,15.6,13.520,652.375
2026-09-07T15:47:43.339829+00:00,342435.615,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:43.339836+00:00,342435.615,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:43.339841+00:00,342435.615,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:43.339845+00:00,342435.615,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:43.339849+00:00,342435.615,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:44.334645+00:00,342436.625,final-default-off-continuous,68738,reader,8.6,13.690,639.734
2026-09-07T15:47:44.334689+00:00,342436.625,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:44.334694+00:00,342436.625,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:44.334700+00:00,342436.625,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
